Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Location,1. What is your home zip code?,2. What brings you to Arthur Ave today?,,,,,,,,,3. If shopping/dining/visiting business - Did you specifically come to Arthur Ave to shop/dine/visit business or are you on your way to/from somewhere else?,4. How often do you visit the Little Italy neighborhood?,5. How did you get to Arthur Ave today?,,"6a. If bus, which bus lines do you use to get to or travel around the Arthur Ave area? (Enter all bus lines separated by commas)","6b. If bus, On a scale of 1-5 where 1 is very dissatisfied and 5 is very satisfied, how would you rate your bus trip today?","6c. If bus, what was the biggest issue with your bus ride today?",,"7a. If personal car, did you experience any difficulty finding parking on/around Arthur Avenue?","7b. If personal car, how long did it take you to find a spot?","7c. If personal car, about how many blocks away from your destination did you park?","7d. If personal car, did you pay to park?","7e. If personal car, how long will you be parked for?","7f. Specific to the Fordham Rd area, do you think a short-term parking zone (such as 30 mins or less) on or adjacent to Fordham Rd would be useful for quick errands or passenger pickup/drop-off?",,"8a. If personal car, dropped off or Taxis/ FHV, would you be more likely to take transit if bus speeds and reliability improved around the Arthur Ave area?","8b. If personal car, what would encourage you to use public transit for this trip?","9. Do you experience any pain points, obstacles or other transportation related challenges traveling in this neighborhood? If yes, please tell us what they are:","10. Would you support a busway along a portion Fordham Rd, between Jerome Ave and Webster Ave, that prioritizes buses and trucks by limiting thru traffic (local access and parking for private vehicles would still be allowed)? Most busways offer transit and freight priority, allowing buses and trucks to travel along the entire corridor. For other vehicles, such as taxis and cars, travel through the busway corridor is restricted, but general traffic are still allowed to enter for local access – meaning cars can enter for loading, picking up, and dropping off customers. Newly added parking spaces may also be included in some portions of the busway where the bus lane currently exists.",*11. How do you identify in terms of gender? (Select all that apply),,,,,,,*12. How do you identify in terms of race/ethnicity? (Select all that apply),,,,,,,,,,*13. What is your age? (Enter 0 if they prefer not to say),Additional Comments:
1.14288E+11,425087348,2023-04-07 15:01:56,2023-04-07 15:11:26,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10009,Shopping/Dining/Visiting Business,,,,,,,,,Stopping by (i.e. on way home from work),Seasonally,Metro North,20 minutes,,,,,,,,,,No,,,,"Walking around the streets aren’t big enough in Arthur Ave, it’s too congested.",1 - Strongly Agree,Male,,,,,,,,Asian,,,,,,,,,28,
1.14288E+11,425087348,2023-04-07 14:56:45,2023-04-07 15:10:50,174.197.138.28,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10471,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Monthly,Personal Car,,B7,2 - Dissatisfied,Waited too long for the bus,,Yes,5 minutes or less,1-2 blocks,No,31 minutes - 1 hour,No,,No,No transfer/free trip,Tap between subway and bus ,2 - Agree,Male,,,,,,,,,,,,,White,,,,52,Limited services for waiting between bus and subways
1.14288E+11,425087348,2023-04-07 14:45:41,2023-04-07 15:03:18,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Walk,,,,,,,,,,,,,,,No problem ,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,20,
1.14288E+11,425087348,2023-04-07 14:57:15,2023-04-07 15:01:55,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",6907,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Seasonally,Personal Car,40 minutes,,,,,No,5 minutes or less,Less than 1 block,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,Fordham Rd,No,"No, because zi drive from Stamford Connecticut",None,3 - Neutral,Male,,,,,,,,,,,,,White,,,,61,
1.14288E+11,425087348,2023-04-07 14:47:08,2023-04-07 14:57:14,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10901,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,40 minutes,,,,,Yes,More than 15 minutes,3-5 blocks,No,More than 2 hours,,,No,"No, because I’d like to drive to carry merchandise or stuff",Traffic,3 - Neutral,,Female,,,,,,,,,,,,White,,,,55,
1.14288E+11,425087348,2023-04-07 14:54:16,2023-04-07 14:56:45,174.197.138.28,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10457,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Weekly,Walk,,,,,,,,,,,Yes,Main street,No,Nothing,The traffic ,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,50,
1.14288E+11,425087348,2023-04-07 14:39:37,2023-04-07 14:54:16,174.197.138.28,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10708,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Monthly,Taxi/FHV,,,,,,Yes,More than 15 minutes,Less than 1 block,No,More than 2 hours,No,,Yes,Convenience stop,Parking issues ,3 - Neutral,,Female,,,,,,,,,,,,White,,,,,
1.14288E+11,425087348,2023-04-07 14:41:09,2023-04-07 14:47:08,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",19063,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Personal Car,180 minutes,,,,,Yes,More than 15 minutes,Less than 1 block,"Yes, off street (in a lot/garage)",More than 2 hours,Yes,I don’t know the area well,No,No. Because I am driving from Phladelphia,Traffic,4 - Disagree,Male,,,,,,,,,,,,,White,,,,54,
1.14288E+11,425087348,2023-04-07 14:42:46,2023-04-07 14:45:41,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,,,,,,No,More than 15 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",31 minutes - 1 hour,Yes,Somewhere easy to access ,No,,No problem,3 - Neutral,Male,,,,,,,,,,,,,White,,,,23,
1.14288E+11,425087348,2023-04-07 14:16:26,2023-04-07 14:42:46,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",11106,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Subway,,Metro north ,5 - Very satisfied,No issues,,,,,,,,,,,No problems ,1 - Strongly Agree,Male,,,,,,³,,,,,,,White,,,,26,
1.14288E+11,425087348,2023-04-07 14:37:28,2023-04-07 14:41:09,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",11221,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,This is my first time visiting the neighborhood,Metro North,80 minutes,,,,,,,,,,Yes,I don’t know the area well,,,None,1 - Strongly Agree,Male,,,,,,,,Asian,,,,,,,,,29,
1.14288E+11,425087348,2023-04-07 14:09:17,2023-04-07 14:39:37,174.197.138.28,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10458,,Live Here,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Daily,Walk,,,,,,Yes,More than 15 minutes,More than 5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,Anywhere,Yes,A lot,Bus disabilities services and the waiting ,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,40,
1.14288E+11,425087348,2023-04-07 14:32:58,2023-04-07 14:37:27,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10017,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Seasonally,Personal Car,30 minutes,,,,,No,6 - 10 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,I don’t know the area ,Yes,No. I drive to Arthur Avenue,None,3 - Neutral,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,33,
1.14288E+11,425087348,2023-04-07 14:29:28,2023-04-07 14:32:58,174.216.249.20,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,20 minutes ,,,,,Yes,6 - 10 minutes,3-5 blocks,No,1 hour 1 minute - 2 hours,No,,No,I like to drive,None,2 - Agree,,Female,,,,,,,,,,,,White,,,,70,
1.14288E+11,425087348,2023-04-07 14:17:23,2023-04-07 14:22:01,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",6460,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,70 minutes,,,,,Yes,More than 15 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,I don’t know,No,No.,Traffic and double parking,3 - Neutral,,Female,,,,,,,,,,,,White,,,,50,
1.14288E+11,425087348,2023-04-07 14:13:45,2023-04-07 14:16:26,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10461,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Bus,,Bx 12,4 - Satisfied,No issues,,,,,,,,,,Lower price ,Nothing ,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,31,
1.14288E+11,425087348,2023-04-07 14:12:24,2023-04-07 14:16:13,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",90205,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,40 minutes,,,,,Yes,11 - 15 minutes,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",11 - 15 minutes,Yes,I don’t know ,No,I drive mostly from the City,None,3 - Neutral,Male,,,,,,,,,,,,,White,,,,25,
1.14288E+11,425087348,2023-04-07 14:09:30,2023-04-07 14:13:44,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",11714,Shopping/Dining/Visiting Business,,,Work,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Personal Car,,,,,,Yes,6 - 10 minutes,3-5 blocks,No,More than 2 hours,Yes,Half man steert,No,Nothing,Double parking throughout  little Italy ,3 - Neutral,Male,,,,,,,,,,,,,White,,,,41,
1.14288E+11,425087348,2023-04-07 14:09:20,2023-04-07 14:12:24,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",2908,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Metro North,180 minutes,,,,,,,,,,,,,,None,2 - Agree,,Female,,,,,,,,,,,,White,,,,22,Coming from Provence Rhode Island 
1.14288E+11,425087348,2023-04-07 14:07:56,2023-04-07 14:09:30,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",,Shopping/Dining/Visiting Business,,,,,,,,,,Monthly,Walk,,Metro north ,5 - Very satisfied,,,,,,,,,,,,No problem,2 - Agree,,Female,,,,,,,Asian,,,,,,,,,,
1.14288E+11,425087348,2023-04-07 14:06:00,2023-04-07 14:09:20,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10027,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Bus,40 minutes,BX9,4 - Satisfied,No issues,,,,,,,Yes,,,, None,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,30,
1.14288E+11,425087348,2023-04-07 12:24:54,2023-04-07 14:09:17,174.197.138.28,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10468,Shopping/Dining/Visiting Business,,,,,,,,,Visited another nearby shopping district (i.e. Fordham Rd or others),Monthly,Bus,,Bx12,3 - Neutral,Waited too long for the bus,,Yes,More than 15 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",More than 2 hours,Yes,,Yes,Speed,None,2 - Agree,,Female,,,,,,,,,,,,,,Prefer not to say,,52,None
1.14288E+11,425087348,2023-04-07 13:55:37,2023-04-07 14:07:56,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Walk,,Metro north,5 - Very satisfied,,,,,,,,,,,,No problem,3 - Neutral,Male,,,,,,,,Asian,,,,,,,,,35,
1.14288E+11,425087348,2023-04-07 13:48:14,2023-04-07 13:55:37,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10457,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Bx15,3 - Neutral,No issues,,,,,,,,,,If they drop the price for buses .,Lot of traffic and service vehicles causing congestion. Making crossing unsafe. ,5 - Strongly Disagree,,Female,,,,,,,,,,,,White,,,,30,
1.14288E+11,425087348,2023-04-07 13:10:03,2023-04-07 13:48:13,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,,,,,School,,,Transit Transfer/Going Home/Passing Through,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Bx12,4 - Satisfied,No issues,,,,,,,,,,,No problem  ,2 - Agree,,Female,,,,,,,,Black or African American,,,,,,,,0,
1.14288E+11,425087348,2023-04-07 13:33:03,2023-04-07 13:38:04,172.58.228.61,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10460,Shopping/Dining/Visiting Business,,,,,,Community Resource,,,,Weekly,Bus,30 minutes ,Bx17,5 - Very satisfied,No issues,,Yes,More than 15 minutes,1-2 blocks,No,5 minutes or less,Yes,Fordham Rd,Yes,Lower fair,N/A,1 - Strongly Agree,,Female,,,,,,,,Black or African American,,,,,,,,47,N/A
1.14288E+11,425087348,2023-04-07 13:14:06,2023-04-07 13:18:38,174.204.133.169,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Does not use buses or access-a-ride,1 - Very dissatisfied,,,,,,,,,,,,"Has not used public transportation since 1976, local resident walks or takes a cab.     Buses whether it's Fordham rd or west farms, why are the drivers still letting so many people on if it's crowded.     Baby strollers on the bus are open, passenger has a disability. Safety is important for the passengers.     Buses are too crowded. ",1 - Strongly Agree,,Female,,,,,,,,Black or African American,,,,,,,,55,Sidewalks are uneven on E187th Street. Better job on the sidewalks. 
1.14288E+11,425087348,2023-04-07 13:09:25,2023-04-07 13:14:06,174.204.133.169,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Not sure ,5 - Very satisfied,No issues,,,,,,,,,,,Everything is good. ,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,33,"Transportation is very good, the buses are good and work well. The busway would be a good idea. VI interpreted this survey in Spanish. "
1.14288E+11,425087348,2023-04-07 12:55:47,2023-04-07 13:10:03,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,Work,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Bus,,"Bx 19,17,12,6,21",5 - Very satisfied,No issues,,,,,,,,,,,So I don't feel safe in little Italy I get attacked.  ,1 - Strongly Agree,,,,,,,,,,,,,,,,,,,
1.14288E+11,425087348,2023-04-07 13:06:53,2023-04-07 13:09:25,174.204.133.169,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx17, Bx19",4 - Satisfied,Other (please specify),Double parking and trucks block the buses. ,,,,,,,,,,Fare evision. ,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,61,
1.14288E+11,425087348,2023-04-07 12:55:07,2023-04-07 12:57:34,174.216.209.249,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,Bx12,2 - Dissatisfied,Waited too long for the bus,,,,,,,,,,,NA,2 - Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,61,
1.14288E+11,425087348,2023-04-07 12:25:29,2023-04-07 12:56:07,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",12601,Shopping/Dining/Visiting Business,,,,,,,,Bronx Zoo,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,90 minutes ,,,,,No,5 minutes or less,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,Yes,I don’t know the area too well.,No,I won’t take Public Transit because I am coming from Dutchess County (Upstate New York). It would take me longer if I take the train or the bus. ,Traffic. A lot of Double parking,2 - Agree,Male,,,,,,,,,,,,,White,,,,55,
1.14288E+11,425087348,2023-04-07 12:39:13,2023-04-07 12:55:46,174.216.213.72,,,,,,10456,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Subway,,"Bx 22 ,19",4 - Satisfied,No issues,,,,,,,,,Yes,More reliable bus services ,No problem,2 - Agree,Male,,,,,,,,,Black or African American,,,,,,,,47,
1.14288E+11,425087348,2023-04-07 12:40:18,2023-04-07 12:55:07,174.216.209.249,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx12,Bx9,Bx17",3 - Neutral,Waited too long for the bus,,,,,,,,,,,NA,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,53,
1.14288E+11,425087348,2023-04-07 12:25:33,2023-04-07 12:40:18,174.216.209.249,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10463,,,,Work,,,,,,Stopping by (i.e. on way home from work),Daily,Bus,,Bx5,3 - Neutral,Bus was too crowded,,,,,,,,,,,NA,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,48,"""Yeah, bus lanes are good. Just if they (cars) are not on them."" She also thinks put the bus lane in the middle travel lane would be better because buses then won't get stuck by those pull-over curbside parking cars. "
1.14288E+11,425087348,2023-04-07 12:07:11,2023-04-07 12:31:07,174.204.133.169,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx19, Bx41",1 - Very dissatisfied,Bus was slow,,,,,,,,,,,"Buses are slow, conditions are poor on the buses. In the Bronx, buses are used a lot more bus services in the area. ",1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,,"Older adult participant heavily supports the busway. Buses need to have more courtesy for the disabled, people never give up a seat and bus drivers do not give time for disabled to board. Buses are not built for people with walkers or crutches. People should give those chairs for elderly or someone who cannot walk. Courtesy is needed. Buses have too many walkers and wheelchairs.     Concerns for safety with motorized scooters riding on the sidewalk in the area. "
1.14288E+11,425087348,2023-04-07 12:17:44,2023-04-07 12:25:33,174.216.209.249,,,,,"Fabco Shoes, 2375 Arthur Ave, The Bronx, NY 10458",10458,,Live Here,,,,,,,,Came specifically to Arthur Ave to visit businesses,Daily,Walk,,"Bx12,BX19",4 - Satisfied,Other (please specify),High fares,,,,,,,,,,NA,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,51,I don't drive so buses are the only way for me to travel around. Buses would stuck in traffic during school hour and after 5pm.
