Respondent ID,Response Date,Responses,Tags,Sentiment
118259770461,Mar 05 2023 12:14 AM,Need to increase public transit and other alternatives to cars,Alternative Transportation,Negative
118259765617,Mar 04 2023 11:56 PM,I support replacing the lane originally removed that created a higher volume of congestion. ,Expand lanes,Negative
118259761341,Mar 04 2023 11:40 PM,"It is a necessary artery for transportation including the flow of goods, tradespeople and travel to areas that have no public transportation or extremely long travel times by public transportation. Please do not make it more difficult for a performative act. ",Hopeful,Negative
118259755080,Mar 04 2023 11:17 PM,"Add drive right except to pass signs. 

Add flex posts to every entrance ramp solid line, prior to dotted lines to reduce cutting off oncoming highway traffic. 

Add ramp metering to entrance ramps during rush hour. 

Completely remove Atlantic Ave. Entrance ramp. 

Make Kent Ave exit ramp two lanes. (One left turn lane and one straight right turn lane. Put a stop sign for local traffic merging with highway ramp traffic.)
 
Clean up underneath and all around the bqe and make it more lively for pedestrians and local residents with trees and green spaces. 

Remove all free parking around bqe. ","Clean litter, Better exits, Green space, Pedestrian safety, Planning advice, Remove parking, BQE Underpass",Negative
118259752545,Mar 04 2023 11:08 PM,I think the original 3 lane roadway should be reinstated ,Expand lanes,Negative
118259750795,Mar 04 2023 11:02 PM,Dismantle this dinosaur 🦖 monstrosity as soon as possible and turn it into another high line.,Close it,Negative
118259750392,Mar 04 2023 11:00 PM,The BQE is a blight on our neighborhood - we need to reduce capacity and shift people from cars to mass transit.  Stop prioritizing suburbanites over those of us who live and work here!,Close it,Negative
118259743612,Mar 04 2023 10:36 PM,Tear it down. It’s a blight and represents destruction of neighborhoods. ,Close it,Negative
118259740931,Mar 04 2023 10:26 PM,new drains,Drainage,Negative
118259740185,Mar 04 2023 10:24 PM,people who ride bicycles go very fast and we have to be careful,Dangerous cyclist behavior,Negative
118259739932,Mar 04 2023 10:23 PM,It is very scary to cross the side walks at BQE on and off ramps as a pedestrian and as a cyclist. Please help drivers slow down and improve human safety. ,"Dangerous driver behavior, Pedestrian safety",Negative
118259738618,Mar 04 2023 10:19 PM,"improve the bus drivers since now days, they are very racist",Alternative Transportation,Negative
118259737673,Mar 04 2023 10:15 PM,Improve the lighting in some streets,Better lighting,Negative
118259737102,Mar 04 2023 10:13 PM,improve vehicle safety in school zones,"Traffic safety, Pedestrian safety",Negative
118259736650,Mar 04 2023 10:11 PM,crossing 55th street and 3rd avenue is dangerous,Pedestrian safety,Negative
118259736028,Mar 04 2023 10:09 PM,Motorcycles and bicycles drive without respecting the stop sign at the traffic light,Dangerous cyclist behavior,Negative
118259735271,Mar 04 2023 10:06 PM,I also ride in the area once in awhile. ,Hopeful,Positive
118259733578,Mar 04 2023 10:01 PM,clean up the material abandoned under the bqe,"Clean litter, BQE Underpass",Negative
118259732128,Mar 04 2023 09:56 PM,Is a lot of traffic,Traffic congestion,Negative
118259730767,Mar 04 2023 09:51 PM,make the community and drivers aware to keep clean this area,Clean litter,Negative
118259729139,Mar 04 2023 09:46 PM,The roadway itself is in poor condition. ,Road surface improvements,Negative
118259729225,Mar 04 2023 09:46 PM,Have better access to open spaces. Create bike paths without being blocked by cars,"Green space, Protected bike lanes",Negative
118259728749,Mar 04 2023 09:45 PM,I think the BQE is vital and should not he eliminated or reduced.,No change,Positive
118259728020,Mar 04 2023 09:42 PM,fix potholes on 3rd avenue road,Road surface improvements,Negative
118259727270,Mar 04 2023 09:40 PM,It is dangerous to walk because of road insecurity and people.,Pedestrian safety,Negative
118259724853,Mar 04 2023 09:33 PM,more vigilance,Hopeful,Positive
118259720890,Mar 04 2023 09:22 PM,We definitely need more and wider lanes. The lanes are narrow as is.  ,Expand lanes,Negative
118259718403,Mar 04 2023 09:15 PM,More lanes for cars,Expand lanes,Negative
118259716601,Mar 04 2023 09:10 PM,More bike access. Cut a motor vehicle lane out.,Protected bike lanes,Negative
118259713411,Mar 04 2023 09:02 PM,The BQE should remain in the two lane reduced capacity. Stay focused on the long-term goal of reducing car traffic in the city. State funds should pay for a tunnel connecting truck traffic so that the BQE could be mostly local traffic.,Tunnel,Negative
118259712142,Mar 04 2023 08:58 PM,Important to have modern on ramps and off ramps that gives vehicles ample time to accelerate onto the highway.,"Better entrances, Better exits",Positive
118259711164,Mar 04 2023 08:55 PM,"Please support the interest of drivers, who need a viable BQE to support their livelihoods and for their family lives","Hopeful, Traffic safety",Positive
118259710833,Mar 04 2023 08:54 PM,Please add additional lanes. ,Expand lanes,Negative
118259709250,Mar 04 2023 08:50 PM,Keep it three lanes,Expand lanes,Negative
118259708471,Mar 04 2023 08:47 PM,Leave the BQE alone!,No change,Positive
118259705158,Mar 04 2023 08:37 PM,"The BQE is a vital artery and should be improved upon however possible. Shutting down one lane of the BQE leading up to the Brooklyn Bridge has contributed to excessive congestion at virtually all hours of the day, and increased the volume of cars through the local streets as drivers seek alternate routes. Restoring the BQE to 3 lanes will keep traffic moving and reduce local traffic, both of which will improve air quality, lower noise, and raise the quality of life for residents along the corridor.",Expand lanes,Negative
118259704795,Mar 04 2023 08:36 PM,People drive like psychos ,Dangerous driver behavior,Negative
118259703135,Mar 04 2023 08:31 PM,"The cyclists are out of control, damaging vehicles, threatening civilians with guns when their perceived space is infringed upon",Dangerous cyclist behavior,Negative
118259702064,Mar 04 2023 08:27 PM,"Since cars aren’t going anywhere and prioritizing cyclists doesn’t make sense, make the roads user friendly for drivers, improve roads, monitor bad/illegal driving/cyclists ","Road surface improvements, Enforcement",Negative
118259693829,Mar 04 2023 08:01 PM,We need an expanded highway BQE for cars and drivers ,Expand lanes,Negative
118259691396,Mar 04 2023 07:54 PM,Return it to 3 lanes in each direction,Expand lanes,Negative
118259691448,Mar 04 2023 07:54 PM,"Most people in the city don’t have a car. We walk, bike, and ride trains/buses. I’m in favor of improving bike lanes and public transportation and removing parking and car traffic. ",Alternative Transportation,Negative
118259689841,Mar 04 2023 07:49 PM,Yes the flow of traffic.  It is for driving not bike riding or walking.  How are deliveries going to get in to Manhattan ?,Traffic congestion,Negative
118259687756,Mar 04 2023 07:42 PM,We dont need any more empty bike lanes my god,Protected bike lanes,Negative
118259685172,Mar 04 2023 07:33 PM,"Bigger highways don’t reduce traffic. The BQE was a mistake and has been harming local residents for decades. In light of those affects and the climate crisis it’s high time to re-envision the corridor to prioritize non-car transport, safety, and the environment.","Close it, Alternative Transportation",Negative
118259684282,Mar 04 2023 07:30 PM,The BQE needs to maintain 3 lanes in each direction for all vehicles. Narrowing it to 2 lanes will increase air pollution and travel time for all and will divert traffic to local streets.,"Expand lanes, Air Pollution",Negative
118259683638,Mar 04 2023 07:28 PM,More lanes needed to help reduce congestion. ,"Expand lanes, Traffic congestion",Negative
118259681640,Mar 04 2023 07:21 PM,We need public transit other than buses to connect Brooklyn and Queens this is long over due.,Alternative Transportation,Negative
118259675628,Mar 04 2023 07:01 PM,"I'm extremely concerned about proposals that have expanded the number of lanes. study after study has shown that this does not reduce congestion, but rather increases it. I am most concerned about climate impact and air quality. We should be reducing the car traffic in our city and encouraging greener options.","Air Pollution, Reduce lanes",Negative
118259667733,Mar 04 2023 06:35 PM,"I am by no means averse to bike access or Green initiatives, but I think any revisionist plan that would reduce/divert BQE motor vehicle capacity and further impede the movement of commercial freight traffic that 278 accommodates would be net disastrous for the metro area-- and particularly its lower-income consumers",Traffic congestion,Negative
118259665028,Mar 04 2023 06:27 PM,"The highway sterilizes the community life of those who live near it. Dirt, noise pollution etc. It's intimidating design makes the whole neighborhood feel unsafe.","Air Pollution, Noise pollution",Negative
118259664361,Mar 04 2023 06:25 PM,"I would like to see public transit options that are separate from vehicular traffic. A separate section- exclusive to public buses, bikes, and e-bikes/motorcycles is needed to encourage the lessening of car usage.",Alternative Transportation,Negative
118259660417,Mar 04 2023 06:18 PM,It should be torn down. Such an infrastructure today in city like NYC is anachronic. Replace it with dedicated bus lanes or cable cars.,"Close it, Alternative Transportation",Negative
118259661619,Mar 04 2023 06:16 PM,Tear it down,Close it,Negative
118259658173,Mar 04 2023 06:06 PM,"tear it down! or restrict one lane each direction to trucks if it's necessary for freight, and turn the rest into a linear park ","Close it, Reduce lanes",Negative
118259655573,Mar 04 2023 05:58 PM,"The BQE is the only way to get to LaGuardia Airport, the LIE and therefore JFK airport, and the Whitestone Bridge, Throgsneck Bridge, parts of Williamsburg and Greenpoint. In the other direction it is how to get to the Verrazano Bridge and therefore Staten Island and New Jersey. Is the idea to have all these truck and cars go through residential streets instead? Who would prefer that? Trucks backed up and  stopping at every light  putting the exhausts into windows and storefronts? It is magical thinking to think that if you remove roads the cars and trucks will magically disappear. Goods and services distributed by trucks will disappear and get more expensive. Way to go!",Pessimistic,Negative
118259651609,Mar 04 2023 05:46 PM,"There used to be parking under the bqe north. Now it is a bike lane, which I have never seen used, and metered parking. We need more street parking in the neighborhood and I would suggest creating safe bike lanes where people actually use it. ","Add parking, Protected bike lanes",Negative
118259646319,Mar 04 2023 05:30 PM,The BQE is a scar through our community. It needs to be completely reimagined.,Close it,Negative
118259644817,Mar 04 2023 05:26 PM,We don't need more lanes!,Reduce lanes,Negative
118259644423,Mar 04 2023 05:24 PM,"We absolutely should not add more lanes to the BQE, now or ever. And we should explore the opportunity to bury as much as possible underground, e.g. the BQGreen vision.","Close it, Reduce lanes",Negative
118259643052,Mar 04 2023 05:20 PM,It needs to have safe walking and biking prioritized.,"Pedestrian safety, Cyclist Safety",Negative
118259641903,Mar 04 2023 05:16 PM,"In a perfect world, the BQE would be shut to car and truck traffic, and would become a linear park. It is time to imagine and plan for a different future. ",Close it,Negative
118259641339,Mar 04 2023 05:15 PM,Fix it with more updated and ample driving lanes,Expand lanes,Negative
118259638667,Mar 04 2023 05:07 PM,"Don’t rebuild the BQE. It’s 1950s urban infrastructure at best that’s causing induced demand and therefore congestion and is tearing apart communities. Invest in the future, clean air, reduced traffic violence, public transportation and PEOPLE. ","Close it, Alternative Transportation",Negative
118259615459,Mar 04 2023 03:58 PM,"It’s dangerous around there, cars are way to fast and red lights are not at all enforced, there’s no where for bikes running or walking and people take corners way too fast ","Enforcement, Dangerous driver behavior",Negative
118259612770,Mar 04 2023 03:50 PM,Highway needs fixing. Fix it and make it wider with more lanes so more people can drive on it. Stop the bike lanes. We don’t need them. We drive.,Expand lanes,Negative
118259612035,Mar 04 2023 03:47 PM,"3 lanes.  You’ve wrecked the commute with the bottle neck at triple cantilever section
50% more commute time from SI,  ridiculous! ",Expand lanes,Negative
118259608803,Mar 04 2023 03:37 PM,"Highways are for cars not bikes , minimum 3 lanes each on the BQE are needed not more bike access.",Expand lanes,Negative
118259597902,Mar 04 2023 03:06 PM,Fuck Robert Moses. Revert it back to the original grid the bqe destroyed so many communities and neighborhoods.,Close it,Negative
118259592904,Mar 04 2023 02:51 PM,"Please prioritize walking, biking, public transportation, housing and green space!","Alternative Transportation, Green space, Pedestrian safety",Positive
118259589410,Mar 04 2023 02:41 PM,"It negatively divides neighborhoods. For example Clinton Hill is cut off from the Brooklyn Navy Yard and ferries by this hideous highway. The noise and pollution are terrible. Under the highway is a wasted parking lot full of trash. Driving on the BQE is also terrible, so it's an all-around awful experience.","Clean litter, Air Pollution, Noise pollution, BQE Underpass",Negative
118259584820,Mar 04 2023 02:28 PM,Under the BQE overpass needs to be maintained. DOT seriously dropping the ball. I see them sitting it their cars doing absolutely nothing . ,BQE Underpass,Negative
118259574432,Mar 04 2023 02:00 PM,Need better enforcement against cars/drivers that cut in at the last second at exits/off ramps (cutting the line of cars waiting to exit),Enforcement,Negative
118259570595,Mar 04 2023 01:50 PM,"The BQE in north brooklyn has caused unsafe traffic crashes, higher asthma rates, and divided barriers between parts of the neighborhood. It should be torn down like the fdr and replaced with a dedicated bus lane and green space. ","Close it, Alternative Transportation, Green space",Negative
118259551398,Mar 04 2023 01:05 PM,"Force NYC and state to rethink community planning priorities for the 21st and 22nd centuries, shelving 20th century climate catastrophe inducing automotive urban design.  Take a good look at Nordic cities new planning paradigm and the positive results in terms of vision zero success, better public health, and reduction of GHG emissions.",Hopeful,Positive
118259539977,Mar 04 2023 12:36 PM,"The BQE is one of Robert Moses' worst highways. It is a scar running through Brooklyn. It should be torn down. If not turn down, it should be narrowed, capped, and the space repurposed. Eliminate road space and many unnecessary car journeys disappear...","Close it, Reduce lanes",Negative
118259526626,Mar 04 2023 12:03 PM,We need to turn the underside into a massive arts canvas. Add an air train-style transit line to it and keep it at its current width for cars. Mobility is a right and many neighborhoods (like eastern greenpoint) are underserved by public transportation and thus rely on the BQE.,Alternative Transportation,Negative
118259517823,Mar 04 2023 11:41 AM,The Promenade needs preservation at all cost. ,Promenade,Negative
118259512768,Mar 04 2023 11:29 AM,Fewer cars ,Less cars,Negative
118259509355,Mar 04 2023 11:21 AM,Restrict single passenger vehicles,Passenger toll,Negative
118259463591,Mar 04 2023 09:37 AM,"The BQE is a blight on NYC. In the 21st century we should not be doing anything to expand urban highways - only reduce them and reduce the public’s reliance on cars. During a housing crisis we should be doing everything we can do use available space, including space dedicated to unhealthy and damaging infrastructure like urban highways. Get creative, this is a once in multi-generational opportunity. Don’t let the politics of south Brooklyn bully you. ",Close it,Negative
118259456587,Mar 04 2023 09:24 AM,I think the way that the West Side Highway was turned into a much different experience should be a much better example than what we have now. ,West side Highway,Negative
118259448223,Mar 04 2023 09:09 AM,I drive the BQE every day to and from Queens and the impact of the two lanes is beginning at exit 29 is not that bad - people need to grow up and stop wining - its NY there is traffic and we don't want more traffic.  Whatever happened to ideas to reduce traffic on the BQE: 1. congestion pricing? 2. limiting use of the Brooklyn Bridge to discourage traffic? 3. weigh stations for trucks. 4. ticketing trucks that travel the triple cantelever 5. 2 lanes with a shoulder and covering the whole area 6. listen to the architects  ,"Heavy truck traffic, HOV Lanes, Close it",Negative
118259381343,Mar 04 2023 08:41 AM,Reduce noice and pollution ,"Air Pollution, Noise pollution",Negative
118259410836,Mar 04 2023 07:38 AM,It should be destroyed,Close it,Negative
118259399745,Mar 04 2023 07:10 AM,We must do everything possible to limit cars. Cut lanes on the BQE and only allow commercial vehicles to use it. ,"Commercial traffic only, Reduce lanes",Negative
118259355461,Mar 04 2023 05:12 AM,"Link Prospect Expressway to BQE South to prevent congestion. Cars currently must exit at 4th Ave, to transfer to BQE entrance at 3rd Ave causing terrible congestion and unsafe driving conditions. ",Planning advice,Negative
118259327474,Mar 04 2023 03:54 AM,"Fewer lanes.  We know better than to ruin cities and neighborhoods with highway disasters. Ideally - knock the whole thing down & find/promote/insist upon FREIGHT BY RAIL.  Stop turning a blind eye to the flagrant law-breaking.community-damaging car-drivers who are covering license plates, and driving/ parking in bike lanes - including police , municipal employees, etc.  ","Enforcement, Reduce lanes",Negative
118259255287,Mar 04 2023 12:16 AM,We are in a climate crisis. Air pollution from cars & trucks causes all kinds of health problems. Highway on/off ramps are deadly for people walking & biking. The BQE should be downsized or removed entirely.,Close it,Negative
